S01	Gwanghwamun Gate plaza in modern Seoul at golden misty dawn, the great seated BRONZE statue of King Sejong the Great (dark patina bronze, NOT gold), an aerial sweep gliding across the plaza toward the statue, majestic and reverent. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S02	a candle-lit Korean hanok room at night; the little Korean boy prince in hanbok gently and slowly turns a single clean, intact page of his open book with his fingertips, calm and absorbed. The page is whole and smooth, NOT torn or ripped, no crumpling. Subtle real motion only - the boy breathes softly, the candle flame flickers warmly, one page turns slowly. No sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S03	a village schoolroom (seodang); three royal boys — the two elder distracted, only little Chungnyeong sitting upright neatly copying text, the teacher smiling warmly. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S04	the little prince with slightly red tired eyes; gentle adults softly gathering his books away; the boy reaching toward a bundle of books being carried off, wistful. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S05	the little prince in a corner behind a folding paper screen, joyfully discovering ONE last book, eyes shining bright with delight. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S06	a pondside pavilion in spring; the young boy prince speaking earnestly and politely, spring breeze in his sleeves, soft water reflections. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S07	a quiet amber-lit study; the young man Chungnyeong deeply reading classics, surrounded by tall piles of books, content. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S08	a curious young man among many things — a gayageum (Korean zither), an astronomy star chart, healing herbs, counting rods — exploring each with bright curiosity. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S09	an autumn lakeside; the young man calmly watching a distant royal procession far away, maple leaves drifting, serene and detached. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S10	a kind young prince warmly and humbly greeting palace people, gently bowing to an elderly servant, warm light. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S11	a palace audience room; an older father king (King Taejong) talking with the young Chungnyeong, the father smiling with quiet pride at his son's wisdom (two figures). Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S12	a temple courtyard; the young man Chungnyeong standing beside his kind bride Queen Soheon, oriental-painting composition, serene (two figures). Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S13	a home wooden veranda; the young father with his wife and three happy laughing children, warm soft-focus family scene. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S14	a back garden at night; the young man gazing up at the bright North Star in a star-filled sky, bamboo silhouettes, contemplative. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S15	the grand throne hall (Geunjeongjeon) enthronement; a 22-year-old young King Sejong upon the throne with the sun-moon-five-peaks folding screen behind, officials bowing low, an aerial sweep descending to the throne, majestic. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S16	close on the newly enthroned young king; his hands tremble slightly but his eyes are firm and determined, candlelight. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S17	the Jiphyeonjeon study hall; the young king gathering talented young scholars among bookshelves, warm amber light, lively. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S18	deep night in the royal office; the diligent young king reading mountains of books and reports by candlelight, a cold untouched meal beside him. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S19	golden countryside fields; the young king touring the fields and market, looking closely at the people's lives and talking with a farmer, an aerial sweep over the fields then down. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S20	a royal council; the king discussing policy with wise senior ministers, brush in hand, incense smoke, low-angle dignified. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S21	outside a government office; common people in tears over an injustice, the king watching from afar with a pained sympathetic look. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S22	King Sejong the Great of Korea - a middle-aged Korean man with a thin black beard wearing a RED royal Korean hanbok robe (gonryongpo) with a gold dragon emblem and a black Korean gat hat - sits in a traditional Korean hanok palace chamber by candlelight, gently opening and turning the pages of an illustrated picture book and looking down thoughtfully. Keep his Korean face, red royal hanbok and black gat EXACTLY as in the image. Subtle gentle real motion only - his hands turn a page, the candle flame flickers, his robe shifts softly. Absolutely NO Western or European face, NO medieval European clothing, NO crown, NO Gothic interior, NO leaded glass windows. No sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S23	a poor farmhouse at sunset; a farmer couple puzzled, unable to read the Chinese characters beside the pictures in a book, tilting their heads helplessly. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S24	a government courtyard; middle-aged King Sejong in red royal robe watching weeping commoners with an aching sympathetic heart, close on his troubled caring face. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S25	the king's desk in the royal office; sweeping aside illustrations, his brush tip unconsciously doodling little circles and lines, extreme close on the brush. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S26	a midnight chamber; the king with tired eyes studying late, sketching letter-stroke trajectories, cool blue night light, orbiting view. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S27	a snowy night; the king's silhouette behind a paper screen places the final small dot, then gazes up at the night sky. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S28	a dreamlike night sky where glowing Korean Hangeul letters drift among constellations; in the lower-right a small Joseon-era Korean woman in hanbok, seen from behind, gazes up at the stars. Subtle gentle real motion only - soft cosmic drift, light shimmer, the crane glides, cloth sways softly. Strictly historical Joseon period, NO modern people, NO modern city, NO modern objects. No sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S29	a scholars' office; the young scholars with the king happily writing a test book in the new letters, words flowing easily, horizontal tracking. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S30	a palace courtyard in the morning; an official respectfully holding up a memorial scroll of protest, steadicam wide. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S31	between the pillars of the royal office; an upright stern official loudly objecting, other ministers nodding, rack focus depth. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S32	the king listening to repeated objections among piles of books, his face slowly hardening, crane-up with cold shadows. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S33	an extreme close-up of middle-aged King Sejong's face at the very limit of his patience, intense cinematic lighting. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S34	stylized animation — middle-aged King Sejong standing and speaking firmly and clearly, the whole room glowing warm, low angle, powerful and resolute. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S35	a wide shot — the ministers fallen quiet and respectfully bowing their heads after the king's firm words. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S36	a quiet palace at night under moonlight; the king alone, resolved and firm, lateral dolly. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S37	surreal educational concept — a warm silvery cross-section diagram of a human mouth and throat showing tongue and lip shapes; leave LARGE empty space around it for letters to be added later; orbit feel. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S38	pure white hanji paper with a single brush ink stroke and soft ink bleeding; leave LARGE empty clean space for letters to be added later; extreme close brush tip. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S39	a serene old-Korea dawn: the North Star glows above a grassy hill, a crane slowly descends; a small Joseon-era Korean person in hanbok and gat stands looking up, with traditional hanok rooftops and mountains far behind. Subtle gentle real motion only - soft cosmic drift, light shimmer, the crane glides, cloth sways softly. Strictly historical Joseon period, NO modern people, NO modern city, NO modern objects. No sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S40	inside a traditional Korean hanok study by candlelight, a glowing ring of light with luminous strokes slowly rotates and orbits in the empty center, hanji scrolls and old books around. Subtle gentle real motion only - soft cosmic drift, light shimmer, the crane glides, cloth sways softly. Strictly historical Joseon period, NO modern people, NO modern city, NO modern objects. No sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S41	the sunlit Sujeongjeon courtyard; scholars holding the Hunminjeongeum book and bowing, the king on the throne pleased, calligraphy scattering as golden particles, dolly-in & jib down. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S42	the royal office; elderly King Sejong tenderly caressing books written in the new Hangeul, warm engraved light. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S43	an examination yard; clerks taking a Hangeul writing test, red circles marking correct answers, crane down. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S44	a quiet chamber; the aged king keeping his books close despite weak eyes, heavy diagonal dolly. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S45	dawn mist; the gentle view drifting to the pine trees of Yeongneung outside the window, a peaceful tender ending mood. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S46	a museum glass case holding the precious Hunminjeongeum book, dissolving toward bright modern classrooms around the world learning Hangeul, slide then orbit. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S47	a coda — Korean letter-strokes rising as glowing particles of light, an uplifting bridge between the animated past and the bright present; leave open glowing space for letters. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S48	modern Gwanghwamun Square; a joyful Hangeul Day festival with people from all over the world enjoying Hangeul, letters rising into the autumn sky, horizontal tracking up to a jib-up finale. Bring this scene to life with gentle, subtle REAL physical motion and the camera movement described; people breathe and move naturally, cloth and light shift softly, smooth cinematic; NO sudden whole-frame shake, no flashing; no on-screen text, no watermark.
S49	a humble Joseon-era Korean village alley in warm golden late-afternoon light; poor Joseon children in worn hanbok kneel on the bare dirt, happily writing Korean Hangeul letters in the dirt with wooden sticks, giggling and playing together; gentle warm breeze, dust motes in golden light; children move naturally, small hands draw letters. Strictly historical Joseon period, NO modern clothing, NO modern objects. Subtle real motion only; no sudden whole-frame shake, no flashing; no on-screen text, no watermark.
